"id","Season","GP","Mins","G","A","Shots","SOG","FC","OFF","Y","R"
-97762,"2018/2019",11,841,0,1,5,1,22,5,2,0
-97417,"2018/2019",1,13,0,0,0,0,1,0,0,0
-97397,"2018/2019",2,160,1,0,7,3,2,0,0,0
-97329,"2018/2019",6,295,0,0,0,0,4,0,0,0
-97071,"2018/2019",10,504,0,0,5,3,17,0,0,0
-97058,"2018/2019",6,249,0,0,3,2,2,1,0,0
-96979,"2018/2019",1,45,0,0,0,0,0,0,0,0
-96755,"2018/2019",6,110,0,0,0,0,2,0,1,0
-96753,"2018/2019",4,106,0,0,2,1,0,0,0,0
-96653,"2018/2019",10,659,0,0,3,0,9,0,1,0
-96570,"2018/2019",1,11,0,0,0,0,0,0,0,0
-96530,"2018/2019",4,78,0,0,0,0,1,1,0,0
-96482,"2018/2019",3,257,1,0,4,1,6,0,1,0
-96481,"2018/2019",1,8,0,0,0,0,0,0,0,0
-96477,"2018/2019",2,55,0,0,1,0,0,0,0,0
-96132,"2018/2019",3,245,0,0,2,0,8,0,2,0
-95919,"2018/2019",3,53,0,0,0,0,0,0,0,0
-95908,"2018/2019",4,374,0,0,9,0,8,0,2,0
-95906,"2018/2019",1,16,0,0,0,0,0,0,0,0
-95903,"2018/2019",1,68,0,0,0,0,0,0,0,0
-95866,"2018/2019",1,48,0,0,0,0,0,1,0,0
-95658,"2018/2019",1,23,0,0,0,0,0,0,0,0
-95630,"2018/2019",2,155,0,0,4,0,1,0,0,0
-95618,"2018/2019",3,166,0,0,0,0,2,0,0,0
-95554,"2018/2019",8,316,0,0,1,0,3,2,1,0
-95553,"2018/2019",10,385,0,0,6,2,2,0,0,0
-95550,"2018/2019",8,555,1,0,16,5,13,3,2,0
-95550,"2017/2018",22,1478,4,1,39,12,40,4,3,0
-95490,"2018/2019",1,83,0,0,0,0,3,0,0,0
-95459,"2018/2019",4,297,0,0,0,0,3,0,2,0
-95457,"2018/2019",2,50,0,0,1,1,0,0,0,0
-95440,"2018/2019",1,7,0,0,0,0,0,0,0,0
-95424,"2018/2019",2,115,0,0,3,1,1,2,0,0
-95420,"2018/2019",1,7,0,0,1,0,0,0,0,0
-95419,"2018/2019",5,152,0,0,1,1,7,0,1,0
-95355,"2018/2019",4,70,0,0,0,0,1,0,1,0
-95340,"2018/2019",1,19,0,0,0,0,1,0,0,0
-95284,"2018/2019",2,53,0,0,0,0,0,0,0,0
-95220,"2018/2019",3,52,0,0,0,0,0,0,0,0
-95171,"2018/2019",7,514,0,0,2,0,9,0,0,0
-95158,"2018/2019",6,182,0,0,1,1,8,0,0,0
-95026,"2018/2019",2,36,0,0,0,0,5,0,0,0
-94992,"2018/2019",1,77,0,0,2,0,2,0,0,0
-94964,"2018/2019",2,125,0,0,0,0,2,0,0,0
-94962,"2018/2019",2,74,0,0,0,0,2,0,0,1
-94957,"2018/2019",1,6,0,0,0,0,0,0,0,0
-94929,"2018/2019",1,10,0,0,0,0,0,0,0,0
-94914,"2018/2019",1,14,0,0,1,0,0,0,0,0
-94911,"2018/2019",1,67,0,0,1,0,0,0,0,0
-94580,"2018/2019",6,302,0,0,6,1,4,0,0,0
-94389,"2018/2019",3,281,0,0,0,0,0,0,0,0
-94280,"2018/2019",4,141,0,0,0,0,4,0,1,0
-94097,"2018/2019",1,21,0,0,0,0,0,0,0,0
-94095,"2018/2019",1,96,0,0,0,0,1,0,0,0
-94079,"2018/2019",1,47,0,0,0,0,0,0,0,0
-94078,"2018/2019",6,567,1,0,1,1,8,2,1,0
-94076,"2018/2019",5,155,0,0,0,0,2,0,0,0
-94064,"2018/2019",8,648,0,2,4,3,9,0,3,0
-94063,"2018/2019",1,13,0,0,0,0,0,0,0,0
-94023,"2018/2019",8,225,0,0,2,2,3,2,0,0
-94022,"2018/2019",4,143,1,0,5,2,1,0,0,0
-94018,"2018/2019",3,87,0,0,1,0,2,0,0,0
-94016,"2018/2019",2,40,0,0,0,0,0,0,0,0
-94015,"2018/2019",11,953,0,0,3,0,0,0,0,0
-94015,"2017/2018",14,1104,1,1,5,2,6,0,0,0
-93996,"2018/2019",1,93,0,0,0,0,0,0,0,0
-93990,"2018/2019",1,50,0,0,0,0,0,0,0,0
-93989,"2018/2019",1,25,0,0,0,0,1,0,0,0
-93988,"2018/2019",1,33,0,0,0,0,1,0,1,0
-93987,"2018/2019",9,680,1,1,18,9,12,4,0,0
-93985,"2018/2019",8,267,1,0,4,1,5,2,0,0
-93980,"2018/2019",5,465,0,0,0,0,0,0,0,0
-93979,"2018/2019",4,205,0,0,0,0,2,1,0,0
-93977,"2018/2019",9,697,0,1,7,3,15,0,0,0
-93976,"2018/2019",5,182,2,0,3,3,0,2,0,0
-93974,"2018/2019",8,406,0,0,4,1,11,0,2,0
-93973,"2018/2019",9,829,0,2,2,2,6,0,0,0
-93972,"2018/2019",9,418,0,0,1,1,2,0,0,0
-93970,"2018/2019",10,780,2,0,12,7,7,3,0,0
-93969,"2018/2019",7,431,2,0,4,2,3,7,0,0
-93968,"2018/2019",5,206,1,0,5,4,2,0,0,0
-93967,"2018/2019",10,935,0,1,2,1,11,1,1,0
-93966,"2018/2019",4,92,0,0,1,0,2,1,0,0
-93965,"2018/2019",2,189,0,0,0,0,0,0,0,0
-93963,"2018/2019",4,351,1,0,7,4,6,1,1,0
-93961,"2018/2019",6,502,0,0,4,1,2,0,1,0
-93960,"2018/2019",10,730,4,1,18,14,7,5,1,0
-93959,"2018/2019",2,166,0,0,0,0,0,0,0,0
-93958,"2018/2019",3,86,0,0,1,0,1,0,0,0
-93957,"2018/2019",4,316,0,0,0,0,0,0,0,0
-93956,"2018/2019",4,323,0,0,0,0,1,0,0,0
