"player_id","position_cluster","minutes"
-95026,"Central Forward",36
-94992,"Right-Sided Attacker",77
-94964,"Right-Sided Attacker",125
-94962,"Central Midfielder",68
-94929,"Central Midfielder",10
-94914,"Left-Sided Midfielder/Fullback",14
-94911,"Central Defender",67
-94580,"Central Forward",8
-94580,"Central Midfielder",294
-94280,"Central Defender",125
-94258,"Central Forward",818
-94097,"Central Midfielder",21
-94095,"Right-Sided Midfielder/Fullback",96
-94079,"Right-Sided Attacker",47
-94078,"Left-Sided Midfielder/Fullback",567
-94076,"Right-Sided Midfielder/Fullback",154
-94064,"Central Midfielder",648
-94063,"Left-Sided Attacker",13
-94023,"Central Forward",132
-94023,"Central Midfielder",20
-94023,"Left-Sided Attacker",23
-94023,"Right-Sided Attacker",50
-94022,"Central Forward",44
-94022,"Central Midfielder",99
-94018,"Central Defender",35
-94018,"Left-Sided Midfielder/Fullback",52
-94016,"Central Midfielder",17
-94016,"Right-Sided Midfielder/Fullback",23
-94015,"Central Defender",2057
-93996,"Right-Sided Midfielder/Fullback",93
-93990,"Left-Sided Midfielder/Fullback",50
-93989,"Right-Sided Attacker",25
-93988,"Left-Sided Attacker",33
-93987,"Central Forward",359
-93987,"Central Midfielder",129
-93987,"Right-Sided Attacker",192
-93985,"Central Defender",43
-93985,"Central Midfielder",78
-93985,"Left-Sided Attacker",72
-93985,"Right-Sided Attacker",74
-93979,"Central Midfielder",50
-93979,"Left-Sided Attacker",109
-93979,"Right-Sided Attacker",46
-93977,"Central Midfielder",697
-93976,"Central Forward",21
-93976,"Central Midfielder",48
-93976,"Left-Sided Attacker",34
-93976,"Right-Sided Attacker",79
-93974,"Central Defender",102
-93974,"Central Midfielder",180
-93974,"Right-Sided Midfielder/Fullback",124
-93973,"Central Defender",642
-93973,"Central Midfielder",187
-93972,"Central Defender",110
-93972,"Left-Sided Attacker",49
-93972,"Left-Sided Midfielder/Fullback",259
-93970,"Central Forward",317
-93970,"Left-Sided Attacker",372
-93970,"Right-Sided Midfielder/Fullback",91
-93969,"Central Forward",122
-93969,"Left-Sided Attacker",246
-93969,"Right-Sided Attacker",63
-93968,"Central Midfielder",33
-93968,"Right-Sided Attacker",173
-93967,"Central Defender",842
-93967,"Right-Sided Midfielder/Fullback",93
-93966,"Central Defender",45
-93966,"Left-Sided Attacker",47
-93963,"Central Midfielder",351
-93961,"Central Defender",502
-93960,"Central Forward",455
-93960,"Central Midfielder",127
-93960,"Right-Sided Attacker",148
-93959,"Left-Sided Midfielder/Fullback",72
-93959,"Right-Sided Midfielder/Fullback",94
-93958,"Central Midfielder",12
-93958,"Right-Sided Attacker",46
-93958,"Right-Sided Midfielder/Fullback",28
-93956,"Central Defender",68
-93956,"Left-Sided Midfielder/Fullback",191
-93956,"Right-Sided Midfielder/Fullback",64
-93955,"Right-Sided Midfielder/Fullback",68
-93954,"Central Midfielder",363
-93953,"Central Forward",23
-93953,"Central Midfielder",19
-93953,"Right-Sided Attacker",37
-93949,"Left-Sided Attacker",95
-93949,"Left-Sided Midfielder/Fullback",39
-93949,"Right-Sided Attacker",26
-93948,"Central Midfielder",96
-93912,"Central Defender",94
-93912,"Left-Sided Midfielder/Fullback",218
-93912,"Right-Sided Attacker",23
-93912,"Right-Sided Midfielder/Fullback",79
-93905,"Central Forward",15
-93905,"Right-Sided Attacker",25
-93904,"Right-Sided Midfielder/Fullback",27
-93902,"Right-Sided Attacker",9
-93902,"Right-Sided Midfielder/Fullback",12
-93901,"Central Midfielder",35
-93901,"Left-Sided Midfielder/Fullback",94
-93901,"Right-Sided Attacker",20
-93901,"Right-Sided Midfielder/Fullback",90
-93897,"Left-Sided Attacker",286
-93897,"Left-Sided Midfielder/Fullback",95
-93881,"Central Midfielder",374
-93881,"Left-Sided Attacker",108
-93881,"Left-Sided Midfielder/Fullback",107
-93881,"Right-Sided Attacker",55
-93881,"Right-Sided Midfielder/Fullback",27
-93880,"Central Forward",93
-93879,"Central Midfielder",8
-93879,"Right-Sided Attacker",108
-93851,"Central Forward",24
-93851,"Central Midfielder",46
-93851,"Left-Sided Attacker",95
-93850,"Central Forward",810
-93849,"Central Defender",94
-93849,"Central Midfielder",784
-93849,"Right-Sided Midfielder/Fullback",24
-93845,"Right-Sided Attacker",45
-93845,"Right-Sided Midfielder/Fullback",14
-93841,"Central Forward",101
-93840,"Central Defender",141
-93840,"Right-Sided Midfielder/Fullback",277
-93834,"Left-Sided Attacker",12
-93834,"Left-Sided Midfielder/Fullback",95
-93834,"Right-Sided Midfielder/Fullback",46
-93833,"Central Forward",16
-93833,"Left-Sided Midfielder/Fullback",69
-93830,"Central Midfielder",183
-93830,"Left-Sided Midfielder/Fullback",14
-93826,"Central Forward",145
-93768,"Right-Sided Midfielder/Fullback",1333
-93767,"Central Midfielder",189
-93767,"Left-Sided Midfielder/Fullback",509
-93767,"Right-Sided Attacker",79
-93724,"Left-Sided Attacker",37
-93708,"Central Midfielder",203
-93708,"Left-Sided Midfielder/Fullback",150
-93708,"Right-Sided Midfielder/Fullback",342
-93707,"Left-Sided Attacker",174
-93707,"Right-Sided Attacker",30
-93704,"Central Midfielder",362
-93689,"Central Forward",234
-93689,"Central Midfielder",26
-93689,"Right-Sided Attacker",71
-93689,"Right-Sided Midfielder/Fullback",24
-93688,"Left-Sided Attacker",47
-93687,"Central Defender",11
-93612,"Central Forward",58
-93612,"Central Midfielder",225
-93612,"Left-Sided Attacker",16
-93611,"Central Midfielder",35
-93611,"Left-Sided Attacker",167
-93611,"Left-Sided Midfielder/Fullback",592
-93582,"Left-Sided Attacker",30
-93582,"Right-Sided Midfielder/Fullback",46
-93581,"Central Forward",14
-93581,"Left-Sided Attacker",30
-93579,"Central Forward",587
-93579,"Central Midfielder",196
-93579,"Right-Sided Attacker",185
-93568,"Central Midfielder",15
-93568,"Left-Sided Attacker",120
-93561,"Central Midfielder",543
-93561,"Left-Sided Midfielder/Fullback",9
-93561,"Right-Sided Attacker",19
-93547,"Right-Sided Attacker",19
-93543,"Central Forward",173
-93543,"Central Midfielder",12
-93533,"Central Forward",1079
-93482,"Left-Sided Attacker",84
-93480,"Left-Sided Midfielder/Fullback",92
-93477,"Right-Sided Midfielder/Fullback",98
-93468,"Right-Sided Midfielder/Fullback",59
-93463,"Right-Sided Attacker",27
-93462,"Central Forward",47
-93462,"Left-Sided Attacker",9
-93460,"Left-Sided Attacker",21
-93459,"Left-Sided Attacker",96
-93459,"Right-Sided Attacker",47
-93458,"Left-Sided Attacker",49
-93456,"Central Midfielder",178
-93449,"Central Midfielder",18
-93449,"Right-Sided Midfielder/Fullback",97
-93443,"Central Midfielder",456
-93443,"Right-Sided Midfielder/Fullback",24
-93431,"Central Midfielder",612
-93430,"Left-Sided Attacker",75
-93430,"Right-Sided Attacker",222
-93430,"Right-Sided Midfielder/Fullback",76
-93429,"Central Forward",50
-93422,"Left-Sided Midfielder/Fullback",96
-93418,"Central Forward",165
-93409,"Central Defender",94
-93345,"Left-Sided Midfielder/Fullback",97
-93344,"Left-Sided Attacker",17
-93344,"Right-Sided Attacker",73
-93344,"Right-Sided Midfielder/Fullback",19
-93170,"Right-Sided Attacker",40
-93170,"Right-Sided Midfielder/Fullback",29
-93169,"Left-Sided Midfielder/Fullback",1118
-93168,"Right-Sided Midfielder/Fullback",35
-93161,"Central Forward",16
-93161,"Left-Sided Attacker",66
-93157,"Central Midfielder",345
-93157,"Right-Sided Midfielder/Fullback",185
-93154,"Central Midfielder",51
-93154,"Left-Sided Attacker",294
-93151,"Central Midfielder",597
-93151,"Left-Sided Attacker",62
-93151,"Left-Sided Midfielder/Fullback",76
-93151,"Right-Sided Midfielder/Fullback",188
-93150,"Left-Sided Midfielder/Fullback",28
-93150,"Right-Sided Attacker",84
-93150,"Right-Sided Midfielder/Fullback",568
-93148,"Left-Sided Attacker",292
-93148,"Right-Sided Attacker",99
-93144,"Left-Sided Attacker",68
-93142,"Central Forward",813
-93142,"Central Midfielder",95
-93141,"Central Defender",20
-93140,"Right-Sided Attacker",13
-93139,"Central Midfielder",74
-93136,"Left-Sided Attacker",96
-93136,"Right-Sided Attacker",19
-93135,"Left-Sided Attacker",151
-93135,"Right-Sided Attacker",562
-93134,"Left-Sided Midfielder/Fullback",203
-93132,"Central Defender",186
-93132,"Left-Sided Midfielder/Fullback",10
-93132,"Right-Sided Midfielder/Fullback",27
-93130,"Right-Sided Midfielder/Fullback",270
-93065,"Central Forward",26
-93065,"Central Midfielder",11
-93063,"Central Forward",82
-93063,"Right-Sided Attacker",88
-93061,"Central Defender",95
-93061,"Left-Sided Midfielder/Fullback",93
-93061,"Right-Sided Midfielder/Fullback",94
-93059,"Central Midfielder",285
-93058,"Central Midfielder",171
-93058,"Left-Sided Attacker",95
-93058,"Right-Sided Attacker",83
-93056,"Central Defender",329
-92926,"Central Forward",26
-92926,"Left-Sided Attacker",16
-92924,"Central Defender",278
-92924,"Left-Sided Midfielder/Fullback",1082
-92919,"Right-Sided Attacker",12
-92873,"Left-Sided Attacker",93
-92872,"Central Forward",276
-92872,"Right-Sided Attacker",184
-92819,"Central Defender",286
-92818,"Central Forward",72
-92810,"Left-Sided Attacker",9
-92810,"Right-Sided Attacker",12
-92607,"Central Forward",509
-92607,"Left-Sided Attacker",83
-92596,"Left-Sided Attacker",118
-92596,"Left-Sided Midfielder/Fullback",115
-92596,"Right-Sided Attacker",81
-92595,"Right-Sided Attacker",8
-92591,"Left-Sided Midfielder/Fullback",585
-92590,"Central Defender",181
-92563,"Central Defender",122
-92563,"Central Midfielder",179
-92556,"Central Forward",28
-92556,"Left-Sided Attacker",24
-92555,"Central Midfielder",38
-92555,"Right-Sided Attacker",58
-92554,"Central Midfielder",768
