"id","name","logo"
602,"AaB","https://cdn5.wyscout.com/photos/team/public/283_120x120.png"
25983,"AaB U17","https://cdn5.wyscout.com/photos/team/public/g25983_120x120.png"
22933,"AaB U19","https://cdn5.wyscout.com/photos/team/public/g22933_120x120.png"
2181,"Aarau","https://cdn5.wyscout.com/photos/team/public/583_120x120.png"
612,"AB","https://cdn5.wyscout.com/photos/team/public/2470_120x120.png"
1690,"Académica","https://cdn5.wyscout.com/photos/team/public/168_120x120.png"
-8976,"Académica U23","https://cdn5.wyscout.com/photos/team/public/g-8976_120x120.png"
1737,"Academico Viseu","https://cdn5.wyscout.com/photos/team/public/g1737_120x120.png"
2348,"Adana Demirspor","https://cdn5.wyscout.com/photos/team/public/4240_120x120.png"
22745,"Adana Demirspor Res.","https://cdn5.wyscout.com/photos/team/public/g22745_120x120.png"
40189,"Adana Demirspor U19","https://cdn5.wyscout.com/photos/team/public/g40189_120x120.png"
40163,"Adana Demirspor U21","https://cdn5.wyscout.com/photos/team/public/g40163_120x120.png"
2229,"Adanaspor","https://cdn5.wyscout.com/photos/team/public/1341_120x120.png"
37122,"Adanaspor U21","https://cdn5.wyscout.com/photos/team/public/g37122_120x120.png"
10848,"Admira","https://cdn5.wyscout.com/photos/team/public/620_120x120.png"
10900,"Admira II","https://cdn5.wyscout.com/photos/team/public/g10900_120x120.png"
-9110,"Admira U19","https://cdn5.wyscout.com/photos/team/public/g-9110_120x120.png"
1514,"ADO Den Haag","https://cdn5.wyscout.com/photos/team/public/850_120x120.png"
1042,"AEK Athens","https://cdn5.wyscout.com/photos/team/public/430_120x120.png"
524,"AEK Larnaca ","https://cdn5.wyscout.com/photos/team/public/1284_120x120.png"
519,"AEL","https://cdn5.wyscout.com/photos/team/public/1285_120x120.png"
4694,"AFC","https://cdn5.wyscout.com/photos/team/public/g4694_120x120.png"
36655,"Afjet Afyonspor","https://cdn5.wyscout.com/photos/team/public/g36655_120x120.png"
605,"AGF","https://cdn5.wyscout.com/photos/team/public/292_120x120.png"
24041,"AGF Res.","https://cdn5.wyscout.com/photos/team/public/g24041_120x120.png"
25986,"AGF U17","https://cdn5.wyscout.com/photos/team/public/g25986_120x120.png"
24562,"AGF U19","https://cdn5.wyscout.com/photos/team/public/g24562_120x120.png"
39592,"Ahrobiznes Volochysk","https://cdn5.wyscout.com/photos/team/public/g39592_120x120.png"
2153,"AIK","https://cdn5.wyscout.com/photos/team/public/641_120x120.png"
10376,"Aimoré","https://cdn5.wyscout.com/photos/team/public/g10376_120x120.png"
1515,"Ajax","https://cdn5.wyscout.com/photos/team/public/139_120x120.png"
3521,"Ajax Cape Town","https://cdn5.wyscout.com/photos/team/public/2866_120x120.png"
4781,"Ajax II","https://cdn5.wyscout.com/photos/team/public/g4781_120x120.png"
20364,"Ajax U19","https://cdn5.wyscout.com/photos/team/public/3664_120x120.png"
39749,"Akademiya Futbola","https://cdn5.wyscout.com/photos/team/public/g39749_120x120.png"
30151,"Akhisar Belediye GS U19","https://cdn5.wyscout.com/photos/team/public/g30151_120x120.png"
30227,"Akhisar Belediye U21","https://cdn5.wyscout.com/photos/team/public/g30227_120x120.png"
11703,"Akhisar Belediyespor","https://cdn5.wyscout.com/photos/team/public/2906_120x120.png"
3509,"Al Ahli","https://cdn5.wyscout.com/photos/team/public/2229_120x120.png"
3846,"Al Ain","https://cdn5.wyscout.com/photos/team/public/2886_120x120.png"
3500,"Al Arabi","https://cdn5.wyscout.com/photos/team/public/1249_120x120.png"
12889,"Al Duhail","https://cdn5.wyscout.com/photos/team/public/2901_120x120.png"
3511,"Al Hilal","https://cdn5.wyscout.com/photos/team/public/1214_120x120.png"
3513,"Al Ittihad","https://cdn5.wyscout.com/photos/team/public/2893_120x120.png"
9967,"Al Khaleej","https://cdn5.wyscout.com/photos/team/public/g9967_120x120.png"
3627,"Al Kuwait","https://cdn5.wyscout.com/photos/team/public/3104_120x120.png"
5489,"Al Nasr","https://cdn5.wyscout.com/photos/team/public/2894_120x120.png"
3514,"Al Nassr","https://cdn5.wyscout.com/photos/team/public/1705_120x120.png"
12608,"Al Orubah","https://cdn5.wyscout.com/photos/team/public/4522_120x120.png"
9936,"Al Raed","https://cdn5.wyscout.com/photos/team/public/2992_120x120.png"
9937,"Al Taawon","https://cdn5.wyscout.com/photos/team/public/2798_120x120.png"
5494,"Al Wahda","https://cdn5.wyscout.com/photos/team/public/2887_120x120.png"
5039,"Alajuelense","https://cdn5.wyscout.com/photos/team/public/665_120x120.png"
7285,"Alanyaspor","https://cdn5.wyscout.com/photos/team/public/g7285_120x120.png"
37596,"Alanyaspor U19","https://cdn5.wyscout.com/photos/team/public/g37596_120x120.png"
