"acceleration_success","action_in_counterattack_success","aerial_duel_success","ball_delivery_to_danger_zone_success","ball_delivery_to_penalty_area_success","ball_entry_in_final_third_success","controlled_box_entry_success","controlled_penalty_area_entry_success","cross_to_penalty_area_success","cross_to_goalie_box_success","dangerous_opponent_half_recovery_success","dangerous_own_half_loss_success","defensive_duel_success","dribble_success","forward_pass_success","foul","free_kick_success","interception_success","key_pass_success","loose_ball_duel_success","opportunity_success","opportunity_creation_success","pass_to_zone_fourteen_success","pass_to_final_third_success","pass_to_penalty_area_success","progressive_pass_success","progressive_run_success","recovery_success","recovery_counterpressing_success","red_cards","smart_pass_success","shot_after_corner_success","shot_after_free_kick_success","shot_after_throw_in_success","shot_assist_success","shot_buildup_pass_success","shot_from_cross_success","shot_from_danger_zone_success","shot_from_outside_area_success","through_pass_success","throw_in_success","touch_in_box_success","touch_success","vertical_pass_success","yellow_cards","result"
11,0,14,3,9,1,0,1,2,0,4,0,17,28,102,20,1,15,2,9,6,3,29,49,8,64,11,72,40,0,0,0,0,2,9,35,1,2,4,1,13,8,0,114,1,"1"
3,0,9,1,5,1,1,1,1,0,0,0,16,11,84,14,2,9,0,18,1,2,16,28,4,50,1,70,33,0,0,0,1,0,2,7,0,0,0,0,15,4,0,83,4,"0"
4,0,6,3,6,1,0,0,2,0,4,0,17,23,85,11,5,7,0,9,4,0,6,36,6,55,2,65,40,0,0,1,2,0,5,8,0,2,1,0,10,4,0,117,0,"1"
7,0,13,2,12,1,0,1,3,0,3,0,9,13,135,6,3,11,2,14,3,2,26,58,11,87,12,90,42,0,2,0,1,0,9,25,0,1,2,0,31,3,0,166,1,"0"
5,0,12,5,10,0,0,0,7,0,2,0,12,10,59,9,3,12,3,12,3,3,4,21,10,32,3,65,28,0,1,1,0,0,7,9,0,1,2,0,9,3,0,58,2,"1"
7,0,18,3,10,0,0,0,3,0,0,0,13,10,124,11,0,24,4,12,4,3,8,40,10,59,6,88,23,0,2,0,0,0,4,17,0,0,2,1,19,3,0,161,0,"0"
5,0,26,8,10,3,0,0,4,2,0,0,14,3,122,5,0,18,3,9,3,3,19,48,10,75,5,79,33,0,1,0,0,0,5,18,2,2,0,0,21,9,0,141,0,"0"
13,0,14,4,5,1,0,0,3,3,1,0,11,22,65,10,3,10,4,15,7,4,12,24,5,47,8,66,38,0,8,2,1,0,8,15,0,5,3,1,22,5,0,50,1,"1"
15,0,14,3,8,0,0,0,3,0,3,0,24,24,88,16,2,10,2,14,2,0,16,31,8,45,7,83,50,0,4,0,0,0,6,13,0,0,2,4,18,2,0,112,2,"0"
9,0,8,6,10,6,0,1,8,0,1,0,15,26,103,13,3,26,2,11,4,2,19,32,9,58,6,74,39,0,2,2,0,0,4,12,1,3,1,1,27,4,0,101,2,"0"
4,0,12,2,11,2,0,2,3,0,0,0,19,30,64,12,4,16,1,21,4,0,6,28,9,39,5,80,35,0,4,1,0,0,5,3,0,2,2,2,21,5,0,61,0,"0"
4,0,14,13,23,6,0,1,12,0,7,0,21,23,131,9,2,12,2,21,4,3,37,90,22,111,2,100,65,0,4,0,0,0,11,39,0,1,4,4,28,2,0,255,2,"0"
4,0,8,5,11,1,0,0,2,0,0,0,26,7,109,9,0,18,0,11,3,3,24,48,11,86,3,96,33,0,3,0,0,0,7,29,0,0,3,3,16,5,0,157,0,"0"
4,0,14,8,16,2,1,1,6,0,4,0,13,34,103,6,5,10,4,9,4,4,15,32,15,64,9,66,22,0,4,1,0,1,13,36,0,6,0,2,18,6,0,137,0,"1"
1,0,20,2,4,1,0,0,2,2,4,1,14,21,107,17,1,11,3,15,1,3,11,29,4,53,2,71,29,0,3,0,0,0,5,25,0,1,0,1,12,4,0,107,2,"0"
0,0,31,0,14,1,0,2,5,0,1,0,16,27,92,14,1,11,1,17,3,3,12,43,12,75,1,95,54,1,1,0,1,1,6,0,2,1,1,1,36,8,0,104,4,"0"
2,0,18,0,13,2,0,1,3,1,7,0,10,24,69,15,3,16,1,11,4,4,12,25,12,49,1,70,35,0,2,0,1,1,7,0,0,2,2,2,14,5,0,75,2,"1"
23,0,9,0,13,7,1,0,6,3,3,0,19,24,117,6,0,12,3,9,9,7,15,31,13,52,13,77,34,0,2,0,0,1,11,0,1,3,3,1,17,8,0,178,1,"1"
0,0,23,0,14,3,0,2,4,4,8,0,19,13,88,10,5,13,3,17,1,3,25,44,12,63,2,98,49,0,1,0,1,0,8,0,1,1,0,3,24,9,0,108,2,"0"
1,0,19,0,3,1,0,0,2,1,1,1,14,8,61,15,0,14,0,12,2,0,2,22,3,33,2,82,33,1,1,0,0,0,1,0,0,0,0,2,14,3,1,52,4,"1"
7,0,16,5,12,3,0,1,3,0,3,0,18,20,115,13,2,15,1,21,5,2,19,44,11,80,3,105,61,0,5,0,0,1,6,13,0,3,1,3,21,4,0,116,1,"0"
14,0,14,5,12,2,0,1,7,0,4,0,12,13,67,13,0,12,2,18,4,2,11,29,11,51,8,70,31,0,3,1,0,0,7,15,2,4,0,5,17,6,0,59,0,"1"
7,0,17,0,16,2,0,3,1,0,4,1,10,23,79,15,0,21,1,16,5,3,15,25,13,39,7,82,36,0,2,0,0,0,8,0,0,2,2,4,13,9,0,69,2,"1"
5,0,19,0,17,3,0,0,8,2,5,1,14,15,129,12,0,17,2,11,5,2,22,50,17,73,5,88,44,0,2,1,0,0,4,0,1,2,1,2,17,10,0,159,4,"0"
5,0,13,0,6,2,0,1,1,0,4,0,21,6,80,12,0,13,1,12,3,2,12,27,5,46,5,78,37,0,2,2,0,0,4,0,0,1,0,3,21,3,0,66,2,"0"
3,0,16,0,13,2,0,2,3,0,1,0,16,17,108,7,2,16,2,12,6,5,23,33,11,56,4,77,34,0,1,0,1,0,8,0,0,3,2,2,16,10,0,115,1,"0"
9,0,29,0,5,2,0,1,3,1,3,1,12,25,94,11,1,20,0,15,2,1,12,20,4,49,9,107,58,0,0,0,0,0,5,0,0,0,1,0,20,2,0,73,3,"0"
2,0,33,0,13,0,0,2,1,0,2,0,21,22,78,10,0,12,5,16,4,5,21,24,11,55,4,94,49,0,1,1,0,1,9,0,0,2,1,3,28,10,0,77,0,"0"
6,0,15,0,7,0,0,0,2,1,0,0,19,15,89,7,1,11,2,16,4,4,4,21,7,45,4,76,38,0,3,0,1,0,6,0,3,6,0,3,23,9,0,61,1,"1"
7,0,20,0,14,0,1,2,1,1,2,0,19,26,118,12,1,7,3,14,2,3,14,38,12,61,9,82,44,0,6,0,0,0,4,0,0,2,0,8,22,5,0,144,2,"1"
17,0,21,0,12,0,0,2,6,3,7,0,16,27,86,15,4,27,2,19,6,2,21,31,10,50,10,97,49,0,8,0,0,1,7,0,0,2,4,1,25,7,0,99,1,"0"
17,0,18,0,7,1,0,2,3,0,2,0,29,25,100,10,0,31,2,21,6,5,7,23,5,41,8,101,54,0,7,0,0,0,4,0,0,2,3,2,18,5,0,69,0,"0"
4,0,12,1,6,3,0,0,1,1,4,0,9,9,97,12,2,15,1,11,6,5,16,30,6,55,3,62,28,0,3,2,0,0,10,28,2,4,1,2,13,8,0,106,0,"1"
5,0,8,7,11,4,0,0,4,0,1,0,14,15,88,12,2,3,3,13,9,5,24,30,11,64,3,59,26,0,3,1,1,0,10,32,2,4,5,3,12,6,0,124,3,"0"
16,0,9,0,18,11,0,2,5,1,7,0,10,21,102,3,0,3,4,24,3,4,22,45,16,70,16,99,46,0,0,2,0,0,11,0,0,1,0,0,16,10,0,196,0,"0"
6,0,16,0,10,0,0,0,4,2,1,0,11,13,123,6,0,12,2,26,1,3,11,32,10,68,7,97,41,0,2,0,0,0,5,0,0,1,0,0,9,4,0,155,1,"0"
15,0,18,0,6,5,1,3,2,0,5,0,23,30,81,10,0,15,0,11,9,3,10,19,3,41,4,84,29,0,2,0,0,0,8,0,0,4,2,2,11,10,1,97,1,"1"
2,0,22,0,7,0,0,0,4,1,1,0,10,17,94,7,0,23,1,14,2,0,20,39,7,56,3,90,44,0,2,0,0,0,2,0,0,0,1,2,27,5,0,114,3,"0"
7,0,15,0,7,5,0,3,2,1,2,0,15,16,90,14,0,17,1,9,3,4,8,28,4,50,9,86,38,0,1,0,1,0,6,0,0,3,0,0,18,8,0,67,0,"1"
3,0,18,0,6,0,0,1,1,0,1,0,16,15,80,18,2,15,2,20,2,2,8,28,5,46,1,98,55,0,1,0,0,0,3,0,1,1,0,1,29,5,0,66,2,"0"
8,0,20,0,14,1,0,0,3,0,6,0,18,11,111,12,1,17,6,13,9,8,17,42,14,71,8,93,44,1,5,0,1,0,14,0,2,5,2,1,17,14,0,124,2,"0"
4,0,11,0,16,2,0,1,4,1,5,0,12,13,91,10,1,9,0,10,5,6,11,32,15,62,6,80,41,0,1,0,1,0,10,0,0,0,2,2,24,8,0,103,1,"0"
11,0,11,0,12,1,1,1,6,3,3,0,13,24,83,13,0,36,2,9,4,3,8,36,11,52,5,70,32,1,2,0,0,0,4,0,1,1,2,2,26,6,0,100,2,"0"
8,0,14,0,4,1,1,0,1,0,1,0,9,17,93,5,1,21,2,17,5,2,4,26,4,48,9,70,25,0,4,0,0,0,5,0,0,2,2,2,23,4,0,119,0,"1"
6,0,15,0,7,4,0,1,4,1,4,0,9,17,108,14,1,22,0,20,0,0,13,36,6,58,6,92,44,0,1,0,0,0,4,0,0,0,0,1,16,3,0,105,1,"0"
9,0,14,0,11,1,0,2,3,1,3,0,12,35,114,11,1,31,1,17,5,2,19,50,9,73,7,94,38,0,9,0,0,2,6,0,0,1,3,5,27,3,0,116,2,"1"
13,0,18,0,27,5,0,1,13,0,4,0,18,37,159,11,2,12,2,18,3,4,40,78,26,124,14,106,58,0,1,0,1,1,12,0,0,1,2,0,19,9,0,245,2,"0"
3,0,16,0,4,1,0,1,1,0,0,1,20,12,49,16,1,14,0,15,1,0,4,25,3,34,2,70,26,0,1,0,1,0,0,0,0,1,0,0,20,1,0,21,1,"0"
5,0,19,0,13,1,0,1,7,1,2,0,11,11,111,5,0,13,2,15,3,5,13,25,12,49,7,77,34,0,0,0,0,1,8,0,2,3,0,0,13,6,0,163,1,"1"
4,0,11,0,9,1,0,1,2,0,4,0,12,10,136,10,0,14,1,10,5,4,25,41,8,54,5,61,20,0,0,0,0,0,9,0,0,1,4,0,19,3,0,119,0,"0"
1,0,16,0,11,2,0,2,2,1,2,0,13,20,109,15,2,17,1,21,8,5,18,40,9,61,2,82,45,0,0,4,1,1,12,0,2,6,1,1,22,12,0,118,2,"1"
0,0,14,0,7,0,0,0,2,0,3,0,6,10,46,10,6,20,0,13,4,1,9,18,7,39,2,51,25,0,1,0,1,0,6,0,0,2,2,1,4,5,0,40,2,"0"
5,0,11,0,15,1,0,1,1,0,6,0,30,17,108,17,0,21,2,16,10,8,16,40,14,59,6,94,43,0,5,0,0,0,12,0,1,4,4,3,14,13,0,92,2,"1"
7,0,6,0,9,1,0,0,4,0,2,0,9,15,82,13,1,17,0,11,8,2,20,39,9,56,8,68,23,0,1,1,0,1,6,0,0,3,1,2,19,7,0,70,1,"0"
1,0,12,0,7,0,0,3,1,0,2,0,14,16,103,10,0,10,1,14,6,4,17,35,4,54,2,75,33,0,0,1,1,0,7,0,1,3,2,0,17,5,0,116,2,"1"
4,0,29,0,1,0,0,0,1,0,3,1,23,7,79,14,1,26,2,34,2,3,7,24,1,44,2,107,56,0,0,0,0,1,5,0,0,0,0,0,14,5,0,46,1,"0"
7,0,33,0,17,4,0,2,8,1,13,3,12,20,93,17,4,21,7,22,9,6,12,33,15,62,4,112,62,0,0,1,0,1,12,0,3,4,3,0,27,10,0,82,2,"0"
7,0,18,0,5,0,0,1,0,0,1,0,20,21,67,19,2,19,3,25,2,3,13,23,4,42,5,76,28,0,0,0,0,0,5,0,0,0,1,3,12,4,0,52,3,"0"
5,0,12,0,14,5,0,3,5,0,4,0,10,18,117,19,2,11,5,22,3,5,24,62,11,77,6,83,42,0,4,1,0,0,6,0,1,1,1,7,29,5,0,146,2,"0"
5,0,10,0,7,2,0,0,1,1,4,2,15,21,76,6,0,9,2,16,1,2,4,22,7,41,4,68,36,0,0,0,0,0,5,0,0,0,0,0,38,2,0,51,1,"1"
16,0,4,0,20,11,0,4,5,1,6,0,9,24,139,10,0,22,1,14,5,5,23,40,16,61,20,77,32,0,8,0,0,2,11,0,1,5,1,6,12,12,0,203,2,"1"
4,0,4,0,8,1,0,1,3,1,0,0,11,8,103,12,1,21,3,19,6,4,26,32,7,45,3,66,20,0,2,0,1,0,8,0,0,3,0,6,12,8,0,150,2,"0"
8,0,26,0,17,4,0,3,8,2,5,0,18,16,76,8,1,20,3,10,3,4,11,32,14,59,7,100,46,0,4,0,0,1,7,0,1,2,0,2,19,6,0,91,1,"1"
1,0,27,0,13,0,0,1,5,1,4,0,15,11,140,12,2,21,4,13,3,4,21,48,12,94,1,98,56,0,3,0,0,0,11,0,1,2,1,1,29,6,0,161,2,"0"
6,0,23,0,3,2,0,1,2,1,1,1,14,31,91,18,1,7,3,9,4,1,8,22,2,50,4,67,25,0,1,0,0,0,6,0,0,4,1,1,15,5,0,77,2,"0"
2,0,8,0,9,0,0,1,4,0,5,0,20,17,73,21,0,10,3,15,6,3,9,27,8,42,2,75,34,0,1,1,0,1,6,0,0,3,0,0,24,12,0,62,2,"1"
3,0,13,0,8,2,0,2,4,0,1,0,14,26,86,6,2,14,0,18,5,3,12,31,6,58,3,65,31,0,6,0,1,0,4,0,1,0,4,10,17,4,0,131,0,"0"
2,0,10,0,8,0,0,0,4,2,2,0,12,18,98,10,1,10,1,16,5,3,8,23,8,50,2,61,26,0,2,3,0,0,8,0,0,3,2,0,15,6,0,102,2,"1"
6,0,10,0,6,0,1,0,3,3,1,1,9,25,91,16,1,13,3,16,7,3,17,40,6,66,9,63,30,0,0,0,0,0,5,0,2,3,4,0,31,7,0,120,3,"0"
3,0,16,0,14,1,1,1,6,2,4,0,12,18,121,10,1,13,2,16,5,2,13,36,13,67,4,90,57,0,2,0,0,1,10,0,0,3,2,2,7,7,0,123,1,"0"
8,0,13,0,8,0,0,2,1,0,6,0,12,16,59,7,1,17,3,19,6,4,11,24,6,33,1,80,41,0,2,2,1,1,11,0,0,5,1,2,30,8,0,70,0,"0"
5,0,14,0,10,1,0,3,3,1,8,3,16,17,86,10,0,8,2,17,4,4,10,28,7,49,7,75,28,0,1,0,0,0,4,0,0,2,0,1,22,8,0,77,2,"1"
6,0,23,0,10,1,0,0,4,0,2,1,14,22,90,18,2,20,9,32,7,8,18,32,10,59,4,78,43,0,4,0,2,2,12,0,2,5,2,4,21,9,0,132,2,"1"
8,0,10,0,12,0,0,0,2,0,5,1,19,6,91,12,0,5,2,11,5,1,8,29,12,48,6,69,27,0,5,0,0,0,9,0,0,0,3,6,22,6,0,88,2,"1"
1,0,15,0,9,1,0,2,2,0,2,1,10,18,107,6,1,19,0,12,1,0,9,31,7,48,3,78,32,1,2,0,0,0,2,0,0,0,1,3,29,3,0,136,1,"0"
11,0,28,0,10,3,0,3,2,1,8,0,19,25,99,18,2,16,2,25,4,4,30,37,7,56,8,103,54,0,1,0,0,0,8,0,0,1,2,2,17,5,0,103,2,"0"
2,0,17,0,8,0,0,1,4,1,1,0,18,8,91,14,2,11,3,17,3,5,18,36,7,59,2,76,40,0,2,0,0,1,9,0,0,1,2,1,22,3,0,51,4,"0"
6,0,34,0,11,1,0,3,6,0,7,0,18,20,78,13,0,17,0,12,2,4,15,23,8,47,8,87,51,0,2,0,0,1,5,0,0,0,1,2,22,2,0,59,1,"1"
10,0,12,0,16,0,0,1,3,1,2,0,13,15,129,13,0,9,4,13,6,4,14,37,15,64,10,71,35,0,3,0,0,0,7,0,0,3,1,2,23,8,0,165,4,"1"
12,0,15,0,8,2,0,1,2,2,3,0,13,19,80,11,3,10,1,13,2,1,6,33,7,45,5,65,31,1,0,1,0,0,5,0,1,1,0,1,14,6,0,96,1,"0"
8,0,12,0,10,6,0,1,5,0,8,0,12,35,116,6,0,15,1,12,2,2,14,39,9,60,10,96,48,0,0,0,0,1,6,0,0,0,1,0,14,2,0,142,2,"0"
4,0,13,0,13,1,0,1,3,3,6,0,19,7,135,11,1,18,6,17,9,8,23,42,12,79,3,100,41,0,1,2,0,0,13,0,1,5,2,5,22,16,0,139,0,"1"
3,0,25,0,7,0,0,0,3,1,0,1,16,21,85,9,1,18,3,19,5,5,20,36,7,50,3,97,47,0,3,0,0,1,8,0,1,2,2,1,15,6,0,73,2,"1"
5,0,16,0,13,8,0,2,5,2,4,0,16,16,109,13,0,8,2,15,1,3,19,54,11,74,4,94,49,0,0,0,0,0,9,0,0,0,1,1,27,2,0,142,0,"0"
8,0,37,0,16,2,0,5,4,4,3,0,15,17,102,13,2,22,5,13,7,6,15,32,11,64,7,108,49,0,3,2,0,1,11,0,2,3,1,3,17,10,0,84,1,"1"
8,0,35,0,11,1,0,0,8,0,2,0,12,20,111,8,0,26,0,20,1,2,14,33,11,62,5,106,55,0,0,0,0,0,8,0,0,0,1,1,41,1,0,76,1,"0"
6,0,10,0,14,7,0,1,6,2,3,1,18,27,105,9,3,16,1,9,2,2,16,37,13,63,6,74,26,0,2,0,1,0,6,0,0,3,0,1,28,8,0,111,1,"0"
5,0,18,0,7,1,1,1,3,0,4,0,9,19,69,14,2,10,1,13,4,4,22,31,6,45,5,61,33,0,3,0,1,0,5,0,1,2,2,3,15,5,0,51,1,"0"
5,0,12,0,8,7,0,0,3,0,0,1,17,12,106,9,2,6,1,9,3,4,19,28,8,56,9,67,21,0,1,0,1,0,7,0,1,2,1,1,14,3,0,163,1,"0"
5,0,13,0,16,4,1,0,5,2,2,0,12,12,130,8,1,10,3,8,4,3,28,58,16,63,7,77,33,0,1,1,1,0,7,0,1,3,1,0,14,10,0,198,0,"0"
0,0,30,0,9,3,0,1,3,0,1,0,18,20,81,17,1,12,1,12,5,2,12,24,8,47,4,96,44,0,3,0,0,0,4,0,0,1,4,2,26,2,0,73,3,"1"
7,0,23,0,10,0,0,1,2,0,4,1,20,27,124,13,1,23,3,17,3,5,20,39,9,70,5,123,68,0,3,1,0,0,6,0,0,1,1,4,23,9,1,106,2,"0"
8,0,15,0,13,2,0,0,5,0,2,0,19,15,119,10,0,12,2,15,0,2,22,57,13,74,5,85,42,0,0,0,0,0,6,0,0,0,0,1,21,3,0,177,0,"0"
15,0,5,0,4,1,0,0,1,0,0,0,18,24,65,13,1,21,0,9,1,1,4,12,4,28,6,72,26,0,1,0,1,0,1,0,0,1,0,0,15,1,1,51,2,"1"
9,0,22,0,10,1,0,2,3,1,4,0,13,12,65,10,1,12,2,14,1,2,11,24,8,37,8,84,44,1,1,1,0,0,3,0,0,0,1,3,20,5,0,73,2,"0"
4,0,22,0,24,2,0,0,7,3,4,0,20,20,117,12,1,21,7,16,8,9,35,52,24,78,3,97,53,0,6,2,0,1,13,0,0,5,2,8,21,19,0,146,3,"0"
11,0,15,0,10,3,0,1,2,2,4,0,23,31,93,10,0,5,2,15,5,5,13,38,9,59,11,88,44,0,1,0,0,1,9,0,2,4,1,2,22,10,0,111,1,"1"
5,0,10,0,8,0,0,1,4,1,3,2,23,11,103,11,1,19,1,13,2,2,11,39,7,59,1,82,38,0,1,0,0,1,3,0,1,0,1,3,31,2,0,136,0,"0"
8,0,24,0,12,6,1,4,5,1,5,1,17,20,85,13,1,14,3,9,8,4,9,40,8,53,7,83,34,0,2,2,0,1,10,0,1,7,1,1,27,11,0,98,1,"1"
2,0,18,0,15,3,0,0,6,1,9,0,21,19,166,9,4,20,3,23,2,3,20,86,15,119,4,111,55,0,4,0,0,1,8,0,1,1,2,1,22,6,0,241,2,"0"
7,0,31,0,7,0,0,0,2,0,1,1,16,9,92,7,0,14,0,18,2,2,20,38,7,47,4,93,36,0,1,0,0,0,4,0,0,0,1,5,11,2,0,107,1,"1"
23,0,27,0,19,2,0,3,5,0,4,0,16,22,132,3,0,16,1,14,2,0,23,43,16,76,10,97,54,0,4,0,0,0,8,0,0,0,1,5,20,7,1,172,0,"0"
5,0,24,0,12,0,0,5,3,0,1,1,16,19,94,13,0,11,2,7,7,5,11,28,7,59,7,84,34,0,3,0,0,0,9,0,0,5,1,2,23,13,0,71,0,"1"
0,0,10,0,17,4,0,4,8,1,9,0,15,19,111,8,2,10,3,6,8,4,19,56,13,80,6,78,35,0,1,1,1,0,8,0,0,5,3,1,31,12,0,211,2,"1"
7,0,8,0,7,1,0,3,1,0,4,0,23,12,100,7,1,21,2,12,1,3,14,28,4,56,7,93,41,0,4,0,0,0,5,0,0,0,0,3,18,1,0,77,0,"0"
6,0,15,0,7,4,0,3,1,0,3,0,18,19,62,9,1,9,1,12,3,3,8,28,4,38,6,73,30,0,3,1,0,1,4,0,1,2,1,4,22,6,0,64,0,"0"
7,0,19,0,9,4,0,0,1,2,2,1,18,15,116,11,0,28,3,25,3,2,15,42,9,63,6,95,51,0,3,0,0,0,6,0,0,2,0,1,18,6,0,164,0,"0"
4,0,10,0,6,0,0,0,3,1,8,0,15,22,70,7,1,17,3,9,3,3,11,14,6,37,4,60,32,0,0,1,0,1,11,0,0,1,2,0,11,1,0,67,1,"0"
13,0,11,0,17,4,0,1,12,1,8,3,19,22,126,13,0,11,8,9,10,5,22,55,16,81,15,73,27,0,0,0,0,0,16,0,2,7,2,1,18,10,0,150,2,"1"
1,0,25,0,3,0,0,1,2,1,4,0,9,17,66,11,2,19,1,17,1,1,19,28,2,41,2,87,35,0,2,0,0,1,3,0,0,0,1,3,13,2,0,46,2,"0"
5,0,30,0,22,1,0,3,6,1,3,0,11,9,157,10,1,14,10,18,7,11,23,72,19,94,2,104,51,0,4,0,0,1,17,0,0,3,3,1,18,17,0,196,1,"1"
9,0,29,0,13,1,0,1,8,1,6,0,12,20,134,7,2,18,6,15,3,5,21,55,12,88,6,83,46,0,3,0,0,0,9,0,0,1,0,1,24,6,0,173,1,"0"
12,0,5,0,15,2,0,1,3,0,1,1,15,22,98,11,0,10,3,8,7,8,5,29,14,41,7,61,17,0,5,1,0,1,11,0,0,3,1,5,17,11,0,112,1,"1"
6,0,5,0,7,2,0,2,3,2,2,0,9,19,87,9,2,11,0,5,7,4,7,28,5,52,6,56,19,0,3,1,0,1,8,0,2,2,5,1,21,2,0,110,2,"0"
6,0,31,0,6,0,0,0,4,0,4,1,14,12,96,13,0,22,2,18,2,1,4,23,6,55,2,92,53,1,1,0,0,1,6,0,0,1,0,1,21,3,0,117,2,"0"
4,0,14,0,10,4,0,0,3,2,3,0,20,15,88,12,1,17,1,18,7,7,16,31,10,51,5,81,31,0,5,0,1,0,9,0,2,5,2,4,17,7,0,80,3,"1"
2,0,11,0,7,0,0,0,2,0,2,0,17,15,114,9,1,11,1,15,0,1,12,38,7,62,1,78,32,1,1,0,0,0,5,0,0,0,0,5,18,2,0,125,2,"0"
0,0,13,0,13,1,0,2,7,0,2,0,10,16,110,18,2,18,1,9,3,0,14,48,11,64,3,68,33,0,0,2,0,0,3,0,0,2,0,0,32,8,0,100,3,"0"
3,0,37,0,5,2,0,0,3,0,1,1,19,8,63,12,1,21,0,20,2,1,8,21,5,41,2,101,54,0,0,1,1,0,2,0,0,3,0,2,14,7,0,34,0,"1"
3,0,30,0,18,6,0,2,6,0,6,0,9,14,133,7,0,13,1,24,2,2,17,62,16,81,6,105,59,0,6,1,0,1,6,0,0,2,0,5,29,4,0,180,1,"0"
6,0,20,0,7,4,0,2,1,0,3,0,18,21,62,9,1,16,0,14,3,2,8,23,5,32,7,77,37,0,0,0,0,2,3,0,0,1,2,1,17,3,0,47,1,"0"
7,0,23,0,20,4,0,0,7,0,3,0,11,18,131,14,1,12,2,11,2,1,35,53,20,104,7,102,48,0,0,1,0,0,4,0,0,0,2,1,20,4,0,162,3,"0"
5,0,27,0,11,3,0,1,5,0,3,0,11,10,103,16,1,15,1,5,7,3,15,29,11,53,6,82,33,0,2,0,0,0,5,0,2,2,3,1,14,8,0,102,0,"1"
5,0,20,0,4,2,0,0,1,0,4,0,16,11,152,12,3,20,0,16,2,3,39,58,4,71,4,101,43,0,2,0,0,0,6,0,0,0,1,3,21,4,0,155,0,"0"
12,0,14,0,12,5,0,3,2,0,4,2,10,18,95,8,0,25,1,8,3,4,8,32,9,54,5,85,37,0,0,1,0,0,7,0,0,2,0,1,15,5,0,95,1,"1"
5,0,17,0,7,1,0,0,2,0,8,0,16,12,96,9,0,21,1,7,2,6,12,33,7,60,7,81,37,0,2,0,0,0,7,0,0,1,1,1,17,5,0,63,0,"0"
5,0,12,0,11,2,1,0,5,1,3,0,17,14,82,17,0,10,2,15,3,3,8,33,11,56,7,68,32,0,0,0,0,0,7,0,1,1,1,1,28,6,0,82,2,"0"
9,0,20,0,14,0,0,1,4,1,5,0,11,27,97,10,2,12,3,3,4,5,20,43,13,61,10,72,40,0,1,0,0,0,8,0,2,2,1,2,21,7,0,105,2,"0"
4,0,20,0,11,2,0,3,0,0,5,2,12,17,74,22,2,13,1,12,12,6,9,32,8,50,5,85,37,0,3,2,1,0,10,0,0,7,3,4,11,9,0,55,4,"1"
0,0,13,0,2,3,0,0,1,0,1,0,15,8,97,13,1,16,2,13,2,0,13,48,2,66,2,79,33,0,1,0,0,0,4,0,0,1,1,1,26,1,0,135,2,"0"
5,0,21,0,13,5,0,2,1,0,6,0,19,22,89,14,3,17,2,12,9,4,9,25,11,44,7,82,36,0,3,0,2,1,7,0,0,1,2,2,21,8,0,117,2,"1"
10,0,12,0,4,1,0,0,2,0,0,0,18,13,63,15,1,11,0,12,1,0,2,16,4,38,5,74,31,0,1,0,0,0,0,0,0,0,1,0,7,0,0,37,2,"1"
9,0,22,0,9,2,0,0,5,0,6,0,13,16,104,13,3,21,0,16,3,3,11,32,9,44,6,93,42,0,0,0,1,0,5,0,0,1,2,1,21,7,0,99,3,"0"
2,0,23,0,4,2,0,0,2,0,2,0,8,11,79,15,0,15,1,10,4,0,12,28,4,51,1,66,29,1,0,1,0,1,3,0,0,1,0,1,15,3,0,127,5,"0"
10,0,23,0,9,2,0,0,3,0,0,1,12,14,121,19,4,22,5,13,7,4,12,27,9,59,9,72,25,0,3,0,1,0,7,0,0,2,4,2,16,3,0,118,1,"1"
5,0,22,0,8,1,0,0,3,0,4,0,7,9,92,15,2,16,2,11,4,3,6,22,8,54,4,55,28,0,0,0,0,0,6,0,0,0,4,1,22,1,0,93,2,"0"
2,0,21,0,9,2,0,1,4,0,1,0,11,14,114,5,2,14,2,8,4,3,15,43,8,63,3,81,37,0,1,0,1,0,6,0,1,2,2,2,22,4,0,117,0,"0"
17,0,16,0,17,1,0,3,3,0,6,0,8,21,86,10,1,18,3,17,13,4,22,35,14,54,13,79,29,0,2,0,0,0,8,0,0,1,5,5,18,10,0,92,2,"0"
2,0,20,0,21,5,0,3,7,1,8,0,18,21,138,7,1,27,6,21,3,3,35,68,18,103,5,103,50,0,2,1,0,0,10,0,0,3,0,4,18,7,0,218,1,"0"
3,0,11,0,12,0,0,1,3,0,3,1,12,14,108,10,0,30,2,17,4,4,11,30,11,55,3,86,30,0,0,1,0,0,8,0,0,3,1,0,9,8,0,142,0,"1"
3,0,30,0,3,2,0,0,2,0,2,0,13,8,89,15,2,20,1,13,4,2,12,37,3,55,2,89,44,0,0,0,1,1,4,0,0,3,1,3,24,4,0,87,3,"0"
7,0,37,0,5,2,0,1,1,0,3,1,17,10,92,13,0,18,1,21,2,1,8,33,4,44,5,86,37,0,1,0,0,0,6,0,0,1,0,0,30,9,0,112,1,"1"
7,0,13,0,11,0,0,2,4,0,1,0,20,20,98,14,0,18,1,11,2,3,12,25,9,42,9,71,29,0,1,0,0,1,4,0,1,1,1,1,17,3,0,84,2,"1"
4,0,19,0,12,4,0,1,4,0,10,0,13,9,127,6,1,29,2,10,7,5,10,42,11,72,5,87,46,0,3,2,0,0,11,0,1,2,2,2,18,10,0,136,0,"1"
