"id","position_cluster"
"-45227","Left-Sided Attacker"
"-45270","Central Defender"
"-45304","Central Midfielder"
"-45304","Left-Sided Attacker"
"-45310","Left-Sided Midfielder/Fullback"
"-45312","Central Defender"
"-45314","Central Defender"
"-45315","Central Defender"
"-45317","Central Midfielder"
"-45318","Central Midfielder"
"-45318","Left-Sided Attacker"
"-45320","Central Defender"
"-45320","Central Midfielder"
"-45320","Right-Sided Midfielder/Fullback"
"-45321","Central Forward"
"-45321","Central Midfielder"
"-45322","Central Forward"
"-45328","Right-Sided Midfielder/Fullback"
"-45330","Central Midfielder"
"-45331","Left-Sided Attacker"
"-45331","Right-Sided Attacker"
"-45332","Right-Sided Attacker"
"-45332","Left-Sided Attacker"
"-45333","Left-Sided Midfielder/Fullback"
"-45336","Left-Sided Attacker"
"-45336","Central Forward"
"-45338","Left-Sided Midfielder/Fullback"
"-45338","Right-Sided Midfielder/Fullback"
"-45340","Left-Sided Attacker"
"-45353","Central Forward"
"-45367","Central Defender"
"-45370","Right-Sided Attacker"
"-45370","Right-Sided Midfielder/Fullback"
"-45371","Central Midfielder"
"-45374","Central Midfielder"
"-45374","Left-Sided Attacker"
"-45374","Right-Sided Attacker"
"-45375","Central Forward"
"-45375","Left-Sided Attacker"
"-45375","Right-Sided Attacker"
"-45379","Central Forward"
"-45379","Left-Sided Attacker"
"-45382","Central Midfielder"
"-45383","Central Forward"
"-45385","Left-Sided Attacker"
"-45385","Right-Sided Attacker"
"-45386","Central Midfielder"
"-45386","Right-Sided Midfielder/Fullback"
"-45387","Central Midfielder"
"-45395","Central Defender"
"-45397","Central Defender"
"-45403","Central Midfielder"
"-45403","Left-Sided Attacker"
"-45405","Left-Sided Midfielder/Fullback"
"-45405","Right-Sided Attacker"
"-45408","Central Forward"
"-45408","Left-Sided Attacker"
"-45408","Right-Sided Attacker"
"-45417","Central Defender"
"-45432","Central Midfielder"
"-45434","Central Midfielder"
"-45434","Left-Sided Attacker"
"-45434","Left-Sided Midfielder/Fullback"
"-45453","Left-Sided Attacker"
"-45453","Central Forward"
"-45462","Left-Sided Midfielder/Fullback"
"-45462","Central Defender"
"-45463","Central Midfielder"
"-45464","Central Midfielder"
"-45464","Right-Sided Midfielder/Fullback"
"-45466","Central Forward"
"-45468","Central Defender"
"-45468","Central Midfielder"
"-45469","Central Forward"
"-45469","Central Midfielder"
"-45472","Central Midfielder"
"-45472","Right-Sided Midfielder/Fullback"
"-45475","Central Midfielder"
"-45475","Left-Sided Attacker"
"-45475","Left-Sided Midfielder/Fullback"
"-45479","Left-Sided Midfielder/Fullback"
"-45479","Right-Sided Midfielder/Fullback"
"-45494","Central Forward"
"-45494","Central Midfielder"
"-45494","Left-Sided Attacker"
"-45512","Central Forward"
"-45512","Central Midfielder"
"-45512","Left-Sided Attacker"
"-45512","Right-Sided Attacker"
"-45589","Left-Sided Midfielder/Fullback"
"-45589","Central Midfielder"
"-45600","Right-Sided Midfielder/Fullback"
"-45601","Central Midfielder"
"-45601","Left-Sided Attacker"
"-45601","Right-Sided Attacker"
"-45605","Left-Sided Midfielder/Fullback"
"-45610","Central Midfielder"
"-45625","Central Midfielder"
"-45633","Central Forward"
"-45750","Central Midfielder"
"-45750","Left-Sided Midfielder/Fullback"
"-45751","Left-Sided Midfielder/Fullback"
"-45751","Right-Sided Midfielder/Fullback"
"-45771","Central Defender"
"-45771","Central Midfielder"
"-45907","Left-Sided Attacker"
"-45907","Central Midfielder"
"-45907","Right-Sided Attacker"
"-45912","Right-Sided Attacker"
"-45912","Central Forward"
"-45912","Left-Sided Attacker"
"-45934","Central Midfielder"
"-45939","Central Midfielder"
"-45940","Central Defender"
"-45940","Left-Sided Midfielder/Fullback"
"-45967","Right-Sided Midfielder/Fullback"
"-45968","Left-Sided Midfielder/Fullback"
"-46152","Right-Sided Attacker"
"-46570","Central Forward"
"-46570","Left-Sided Attacker"
"-46721","Central Forward"
"-46721","Central Midfielder"
"-46736","Central Defender"
"-46816","Right-Sided Midfielder/Fullback"
"-46898","Central Midfielder"
"-46962","Left-Sided Midfielder/Fullback"
"-47173","Right-Sided Midfielder/Fullback"
"-47173","Left-Sided Midfielder/Fullback"
"-47654","Central Midfielder"
"-47941","Left-Sided Midfielder/Fullback"
"-48206","Central Defender"
"-48308","Central Midfielder"
"-48367","Left-Sided Midfielder/Fullback"
"-48370","Left-Sided Attacker"
"-48370","Central Forward"
"-48822","Central Defender"
"-48822","Right-Sided Midfielder/Fullback"
"-49115","Central Defender"
"-49115","Left-Sided Midfielder/Fullback"
"-49445","Central Defender"
"-50587","Central Defender"
"-50590","Left-Sided Midfielder/Fullback"
"-51549","Central Forward"
"-51704","Central Midfielder"
"-52426","Central Defender"
"-52544","Left-Sided Attacker"
"-52544","Right-Sided Attacker"
"-52610","Central Defender"
"-52610","Left-Sided Midfielder/Fullback"
"-52612","Central Defender"
"-52612","Left-Sided Midfielder/Fullback"
"-52618","Right-Sided Attacker"
"-52951","Right-Sided Attacker"
"-52959","Central Midfielder"
"-52984","Central Defender"
"-53037","Central Defender"
"-53037","Central Midfielder"
"-53042","Central Defender"
"-53042","Right-Sided Midfielder/Fullback"
"-53099","Central Forward"
"-53286","Central Forward"
"-53286","Left-Sided Attacker"
"-53290","Left-Sided Midfielder/Fullback"
"-53291","Right-Sided Midfielder/Fullback"
"-53291","Central Midfielder"
"-53292","Central Forward"
"-53292","Left-Sided Midfielder/Fullback"
"-53314","Central Defender"
"-53432","Central Defender"
"-53456","Central Forward"
"-53467","Central Defender"
"-53506","Central Midfielder"
"-53625","Central Forward"
"-53625","Left-Sided Attacker"
"-53664","Central Midfielder"
"-53714","Central Midfielder"
"-53977","Left-Sided Attacker"
"-53977","Central Forward"
"-53977","Central Midfielder"
"-53977","Right-Sided Attacker"
"-54067","Central Defender"
"-54067","Central Midfielder"
"-54460","Central Defender"
"-54460","Central Midfielder"
"-55020","Central Midfielder"
"-55020","Left-Sided Midfielder/Fullback"
"-55021","Central Defender"
"-55349","Left-Sided Midfielder/Fullback"
"-55349","Central Midfielder"
"-55350","Central Forward"
"-55350","Right-Sided Midfielder/Fullback"
