"id","position_cluster"
"138288","Left-Sided Midfielder/Fullback"
"138297","Central Defender"
"138341","Central Defender"
"138356","Left-Sided Midfielder/Fullback"
"138360","Left-Sided Midfielder/Fullback"
"138370","Left-Sided Midfielder/Fullback"
"138370","Left-Sided Attacker"
"138370","Right-Sided Midfielder/Fullback"
"138455","Left-Sided Attacker"
"138459","Central Forward"
"138468","Right-Sided Midfielder/Fullback"
"138468","Central Midfielder"
"13858","Central Forward"
"138599","Central Defender"
"138628","Central Defender"
"138640","Right-Sided Midfielder/Fullback"
"138640","Left-Sided Midfielder/Fullback"
"138671","Left-Sided Midfielder/Fullback"
"138688","Central Forward"
"138688","Left-Sided Attacker"
"138691","Central Midfielder"
"138691","Right-Sided Midfielder/Fullback"
"138854","Right-Sided Midfielder/Fullback"
"139240","Right-Sided Midfielder/Fullback"
"139240","Left-Sided Midfielder/Fullback"
"139433","Central Defender"
"139538","Left-Sided Midfielder/Fullback"
"140470","Left-Sided Attacker"
"140470","Central Forward"
"140617","Right-Sided Attacker"
"140617","Left-Sided Attacker"
"140915","Left-Sided Attacker"
"141044","Central Defender"
"141056","Left-Sided Attacker"
"141078","Right-Sided Attacker"
"141179","Right-Sided Midfielder/Fullback"
"141179","Central Midfielder"
"141185","Right-Sided Attacker"
"141187","Right-Sided Midfielder/Fullback"
"141224","Central Defender"
"141224","Central Midfielder"
"141417","Central Forward"
"141419","Central Defender"
"14149","Central Midfielder"
"14149","Left-Sided Midfielder/Fullback"
"141498","Central Midfielder"
"141498","Right-Sided Attacker"
"141528","Central Midfielder"
"141528","Central Forward"
"141611","Central Defender"
"141611","Central Midfielder"
"141679","Left-Sided Midfielder/Fullback"
"141702","Central Midfielder"
"141776","Right-Sided Midfielder/Fullback"
"141776","Central Midfielder"
"141780","Left-Sided Midfielder/Fullback"
"141802","Left-Sided Midfielder/Fullback"
"141804","Left-Sided Midfielder/Fullback"
"141804","Central Midfielder"
"141807","Right-Sided Midfielder/Fullback"
"141813","Right-Sided Attacker"
"141813","Central Midfielder"
"141813","Left-Sided Attacker"
"141857","Central Midfielder"
"141902","Central Forward"
"141963","Central Forward"
"142117","Central Defender"
"142154","Central Forward"
"142154","Left-Sided Attacker"
"142154","Right-Sided Attacker"
"1423","Central Defender"
"142482","Central Defender"
"142661","Central Defender"
"142661","Right-Sided Midfielder/Fullback"
"142774","Central Defender"
"142774","Central Midfielder"
"142794","Central Defender"
"142890","Central Defender"
"143031","Central Forward"
"143076","Left-Sided Attacker"
"143076","Central Forward"
"143126","Left-Sided Attacker"
"143126","Right-Sided Midfielder/Fullback"
"143149","Central Forward"
"143162","Central Defender"
"143173","Right-Sided Attacker"
"143175","Central Forward"
"143228","Central Midfielder"
"143228","Right-Sided Attacker"
"143242","Right-Sided Midfielder/Fullback"
"143251","Central Midfielder"
"143368","Central Midfielder"
"143377","Central Midfielder"
"143444","Central Defender"
"143463","Central Defender"
"143510","Central Defender"
"143559","Left-Sided Attacker"
"143559","Left-Sided Midfielder/Fullback"
"143807","Right-Sided Midfielder/Fullback"
"143808","Left-Sided Midfielder/Fullback"
"143808","Central Midfielder"
"143891","Central Midfielder"
"144016","Right-Sided Midfielder/Fullback"
"144016","Right-Sided Attacker"
"144017","Central Midfielder"
"144133","Central Midfielder"
"144133","Left-Sided Midfielder/Fullback"
"144133","Right-Sided Midfielder/Fullback"
"144167","Central Defender"
"144169","Right-Sided Midfielder/Fullback"
"144169","Left-Sided Midfielder/Fullback"
"144325","Central Midfielder"
"144354","Central Defender"
"144355","Central Midfielder"
"144446","Left-Sided Attacker"
"144532","Left-Sided Midfielder/Fullback"
"144552","Left-Sided Attacker"
"144552","Central Midfielder"
"144563","Central Midfielder"
"144563","Right-Sided Midfielder/Fullback"
"144575","Central Forward"
"144575","Left-Sided Attacker"
"144580","Central Midfielder"
"144607","Central Midfielder"
"144607","Left-Sided Attacker"
"144782","Central Defender"
"144844","Central Forward"
"145022","Central Midfielder"
"145205","Central Defender"
"145205","Left-Sided Midfielder/Fullback"
"145352","Central Midfielder"
"145406","Central Forward"
"145406","Central Midfielder"
"145816","Left-Sided Midfielder/Fullback"
"145816","Left-Sided Attacker"
"145954","Right-Sided Attacker"
"145954","Left-Sided Attacker"
"145999","Central Midfielder"
"146153","Left-Sided Midfielder/Fullback"
"146265","Right-Sided Midfielder/Fullback"
"146265","Central Midfielder"
"146338","Right-Sided Midfielder/Fullback"
"146358","Central Forward"
"146373","Central Forward"
"146373","Left-Sided Attacker"
"146437","Right-Sided Midfielder/Fullback"
"146637","Right-Sided Midfielder/Fullback"
"146680","Central Defender"
"1468","Central Midfielder"
"1468","Left-Sided Attacker"
"146815","Left-Sided Midfielder/Fullback"
"146839","Central Forward"
"146858","Central Defender"
"146871","Left-Sided Attacker"
"146871","Right-Sided Attacker"
"146986","Right-Sided Attacker"
"146986","Left-Sided Attacker"
"147169","Central Defender"
"147225","Central Defender"
"1474","Central Forward"
"147659","Central Defender"
"147787","Central Midfielder"
"148529","Central Midfielder"
"148529","Right-Sided Attacker"
"148603","Central Midfielder"
"148810","Central Defender"
"148819","Central Midfielder"
"148835","Central Defender"
"148836","Central Forward"
"148836","Central Midfielder"
"148843","Central Midfielder"
"148887","Right-Sided Attacker"
"148887","Central Midfielder"
"148887","Left-Sided Midfielder/Fullback"
"148985","Central Midfielder"
"148987","Right-Sided Midfielder/Fullback"
"148990","Left-Sided Attacker"
"148990","Central Forward"
"148990","Central Midfielder"
"149045","Right-Sided Midfielder/Fullback"
"149066","Central Midfielder"
"149217","Central Midfielder"
"149217","Central Defender"
"149334","Right-Sided Attacker"
"149334","Left-Sided Attacker"
"149524","Central Defender"
"149577","Central Defender"
"14961","Central Defender"
"149619","Right-Sided Midfielder/Fullback"
"14975","Central Forward"
"149954","Central Midfielder"
"149954","Central Defender"
"150022","Central Defender"
"150023","Right-Sided Attacker"
"150023","Left-Sided Attacker"
"150118","Central Midfielder"
"150126","Central Forward"
"150289","Right-Sided Midfielder/Fullback"
"1503","Left-Sided Midfielder/Fullback"
"150431","Right-Sided Attacker"
"150431","Central Midfielder"
"150433","Right-Sided Midfielder/Fullback"
"150465","Central Defender"
"150471","Central Midfielder"
"150475","Central Midfielder"
"150811","Central Midfielder"
"151135","Left-Sided Midfielder/Fullback"
"1513","Left-Sided Attacker"
"1513","Central Forward"
"1513","Right-Sided Attacker"
"151355","Central Defender"
"151379","Right-Sided Attacker"
"151379","Left-Sided Attacker"
"151390","Central Defender"
"151390","Left-Sided Midfielder/Fullback"
"151395","Central Midfielder"
"151406","Central Midfielder"
"151423","Right-Sided Midfielder/Fullback"
"151461","Central Midfielder"
"151461","Right-Sided Midfielder/Fullback"
"151504","Right-Sided Midfielder/Fullback"
"151563","Central Midfielder"
"151563","Central Forward"
"151694","Right-Sided Midfielder/Fullback"
"151961","Central Midfielder"
"152184","Left-Sided Midfielder/Fullback"
"152324","Right-Sided Midfielder/Fullback"
"152355","Central Midfielder"
"152355","Left-Sided Midfielder/Fullback"
"152400","Left-Sided Attacker"
"152420","Central Midfielder"
"152658","Right-Sided Midfielder/Fullback"
"152873","Central Defender"
"152884","Central Forward"
"152887","Central Defender"
"153122","Central Midfielder"
"153127","Central Defender"
"1532","Left-Sided Attacker"
"1532","Central Midfielder"
"153666","Central Forward"
"153881","Left-Sided Midfielder/Fullback"
"153881","Right-Sided Midfielder/Fullback"
"153909","Left-Sided Attacker"
"154022","Central Defender"
"154023","Right-Sided Attacker"
"154036","Left-Sided Midfielder/Fullback"
"154111","Right-Sided Midfielder/Fullback"
"154117","Right-Sided Midfielder/Fullback"
"154136","Central Midfielder"
"154138","Right-Sided Attacker"
"154138","Central Midfielder"
"154242","Central Defender"
"154242","Right-Sided Midfielder/Fullback"
"154246","Central Forward"
"154282","Right-Sided Attacker"
"154282","Left-Sided Attacker"
"154283","Left-Sided Attacker"
"154283","Central Midfielder"
"154288","Left-Sided Midfielder/Fullback"
"154289","Central Midfielder"
"154380","Left-Sided Midfielder/Fullback"
"154402","Right-Sided Attacker"
"154402","Left-Sided Attacker"
"154473","Right-Sided Midfielder/Fullback"
"154475","Central Defender"
"154565","Central Defender"
"154644","Right-Sided Midfielder/Fullback"
"154644","Left-Sided Midfielder/Fullback"
"154800","Central Midfielder"
"154823","Central Forward"
"154823","Right-Sided Attacker"
"154824","Right-Sided Midfielder/Fullback"
"154870","Right-Sided Attacker"
"154870","Central Midfielder"
"154870","Left-Sided Attacker"
"154943","Central Midfielder"
"155002","Central Midfielder"
"155055","Right-Sided Attacker"
"155055","Central Midfielder"
"155055","Left-Sided Attacker"
"155058","Left-Sided Midfielder/Fullback"
"155063","Central Midfielder"
"155066","Right-Sided Midfielder/Fullback"
"155066","Central Midfielder"
"155066","Left-Sided Midfielder/Fullback"
"155069","Central Forward"
"155069","Central Midfielder"
"155069","Left-Sided Attacker"
"155073","Central Forward"
"155073","Left-Sided Attacker"
"155075","Central Forward"
"155075","Right-Sided Attacker"
"155076","Left-Sided Attacker"
"155076","Central Forward"
"155107","Left-Sided Attacker"
"155107","Central Forward"
"155108","Central Midfielder"
"155109","Left-Sided Attacker"
"155144","Central Forward"
"155144","Central Midfielder"
"155356","Central Defender"
"155402","Central Defender"
"155403","Central Defender"
"155406","Central Midfielder"
"155407","Left-Sided Attacker"
"155450","Central Defender"
"155494","Central Defender"
"155529","Central Defender"
"155650","Central Midfielder"
"155665","Right-Sided Attacker"
"155665","Central Forward"
"155666","Central Defender"
"155696","Right-Sided Attacker"
"155696","Left-Sided Attacker"
"155759","Central Midfielder"
"155814","Left-Sided Attacker"
"155814","Right-Sided Attacker"
"155942","Left-Sided Attacker"
"155942","Central Forward"
"155942","Right-Sided Attacker"
"156174","Left-Sided Attacker"
"156174","Central Forward"
"156174","Right-Sided Attacker"
"156184","Central Midfielder"
"156205","Left-Sided Midfielder/Fullback"
"156205","Central Midfielder"
"156216","Central Forward"
"156255","Central Midfielder"
"156467","Central Forward"
"156467","Central Midfielder"
"156563","Central Defender"
"156563","Left-Sided Midfielder/Fullback"
"156592","Central Forward"
"156592","Central Midfielder"
"156592","Left-Sided Attacker"
"156704","Left-Sided Midfielder/Fullback"
"156704","Left-Sided Attacker"
"157","Central Midfielder"
"157","Left-Sided Attacker"
"157078","Central Midfielder"
"157099","Central Forward"
"157496","Left-Sided Attacker"
"157496","Central Forward"
"157496","Central Midfielder"
"157583","Central Defender"
"157687","Central Defender"
"157908","Central Midfielder"
"157937","Central Defender"
"157937","Central Midfielder"
"157946","Central Forward"
"157946","Left-Sided Attacker"
"158013","Central Midfielder"
"158203","Central Midfielder"
"158207","Central Forward"
"158305","Right-Sided Midfielder/Fullback"
"158305","Central Midfielder"
"158311","Left-Sided Attacker"
"158311","Central Midfielder"
"158312","Central Midfielder"
"158314","Central Defender"
"158315","Left-Sided Midfielder/Fullback"
"158317","Central Midfielder"
"158347","Central Midfielder"
"158347","Right-Sided Attacker"
"158367","Right-Sided Attacker"
"158367","Central Midfielder"
"158367","Left-Sided Attacker"
"158372","Central Defender"
"158373","Central Midfielder"
"158375","Central Forward"
"158568","Central Midfielder"
"158657","Central Midfielder"
"15866","Right-Sided Attacker"
"15866","Left-Sided Attacker"
"158663","Central Defender"
"158695","Central Defender"
"158707","Central Forward"
"158813","Central Defender"
"158894","Left-Sided Midfielder/Fullback"
"158894","Right-Sided Midfielder/Fullback"
"158918","Central Midfielder"
"159041","Right-Sided Midfielder/Fullback"
"159058","Right-Sided Attacker"
"159058","Right-Sided Midfielder/Fullback"
"159059","Right-Sided Midfielder/Fullback"
"159061","Central Midfielder"
"159061","Central Defender"
"159218","Left-Sided Midfielder/Fullback"
"159218","Central Defender"
"159225","Central Midfielder"
"159225","Central Defender"
"159253","Right-Sided Attacker"
"159253","Left-Sided Attacker"
"159803","Right-Sided Midfielder/Fullback"
"159803","Central Defender"
"159815","Central Forward"
"159817","Left-Sided Midfielder/Fullback"
"159820","Central Midfielder"
"159822","Central Midfielder"
"159870","Central Midfielder"
"159870","Central Defender"
"159879","Left-Sided Attacker"
"159879","Central Midfielder"
"159903","Left-Sided Midfielder/Fullback"
"160014","Right-Sided Attacker"
"160014","Central Forward"
"160014","Left-Sided Attacker"
"160139","Right-Sided Midfielder/Fullback"
"160139","Left-Sided Midfielder/Fullback"
"160152","Right-Sided Midfielder/Fullback"
"160153","Central Midfielder"
"160186","Central Midfielder"
"160186","Central Forward"
"160187","Central Forward"
"160188","Right-Sided Midfielder/Fullback"
"160191","Central Defender"
"160192","Left-Sided Midfielder/Fullback"
"160192","Right-Sided Midfielder/Fullback"
"160291","Right-Sided Midfielder/Fullback"
"160291","Central Midfielder"
"160294","Central Midfielder"
"160296","Right-Sided Midfielder/Fullback"
"160309","Central Defender"
"16031","Central Forward"
"160445","Left-Sided Midfielder/Fullback"
"160445","Central Midfielder"
"160621","Central Midfielder"
"16067","Central Defender"
"16099","Right-Sided Midfielder/Fullback"
"16106","Central Defender"
"16106","Left-Sided Midfielder/Fullback"
"16107","Central Defender"
"161084","Central Forward"
"161084","Left-Sided Attacker"
"16114","Central Defender"
"161216","Right-Sided Midfielder/Fullback"
"161216","Right-Sided Attacker"
"161232","Central Defender"
"161233","Central Midfielder"
"161233","Central Forward"
"161235","Central Defender"
"161288","Central Midfielder"
"161288","Central Forward"
"161291","Right-Sided Attacker"
"161291","Left-Sided Attacker"
"161299","Central Defender"
"161307","Central Midfielder"
"16134","Left-Sided Attacker"
"16134","Right-Sided Attacker"
"161483","Left-Sided Attacker"
"161483","Central Midfielder"
"161483","Right-Sided Attacker"
"161781","Right-Sided Attacker"
"161781","Central Forward"
"161781","Left-Sided Attacker"
"161785","Central Defender"
"161786","Right-Sided Attacker"
"161786","Left-Sided Attacker"
"161792","Central Midfielder"
"161792","Left-Sided Attacker"
"161795","Central Midfielder"
"161804","Central Midfielder"
"16183","Central Midfielder"
"16190","Central Defender"
"162024","Central Forward"
"162065","Right-Sided Midfielder/Fullback"
"162065","Central Defender"
"162148","Right-Sided Midfielder/Fullback"
"162148","Left-Sided Midfielder/Fullback"
"162151","Left-Sided Attacker"
"162234","Left-Sided Midfielder/Fullback"
"162250","Central Midfielder"
"16237","Central Midfielder"
"16249","Left-Sided Attacker"
"16249","Left-Sided Midfielder/Fullback"
"162514","Left-Sided Attacker"
"162514","Right-Sided Attacker"
"162530","Right-Sided Midfielder/Fullback"
"162530","Central Defender"
"162530","Left-Sided Midfielder/Fullback"
"162551","Central Defender"
"162554","Central Midfielder"
"162620","Central Defender"
"162639","Central Midfielder"
"162710","Central Midfielder"
"162711","Central Forward"
"162908","Central Forward"
"163049","Central Defender"
"163320","Central Defender"
"16344","Central Defender"
"163479","Central Forward"
"163479","Left-Sided Attacker"
"163500","Left-Sided Midfielder/Fullback"
"163500","Right-Sided Midfielder/Fullback"
"163554","Central Defender"
"163601","Central Midfielder"
"163756","Right-Sided Midfielder/Fullback"
"16382","Central Midfielder"
"163988","Left-Sided Midfielder/Fullback"
"163991","Central Forward"
"163991","Left-Sided Attacker"
"164484","Central Defender"
"164550","Central Forward"
"164550","Left-Sided Attacker"
"164585","Central Forward"
"16464","Central Midfielder"
"164718","Left-Sided Attacker"
"164718","Right-Sided Attacker"
"164736","Central Defender"
"164736","Central Midfielder"
"164803","Central Midfielder"
"164803","Left-Sided Attacker"
"164803","Right-Sided Midfielder/Fullback"
"16483","Central Midfielder"
"16483","Central Forward"
"16483","Right-Sided Attacker"
"16550","Central Midfielder"
"16557","Right-Sided Midfielder/Fullback"
"165626","Left-Sided Midfielder/Fullback"
"165652","Right-Sided Attacker"
"165652","Left-Sided Attacker"
"165712","Left-Sided Midfielder/Fullback"
"165712","Central Defender"
"16576","Right-Sided Attacker"
"16576","Left-Sided Midfielder/Fullback"
"165828","Right-Sided Attacker"
"165828","Left-Sided Attacker"
"165874","Central Forward"
"16592","Central Midfielder"
"16592","Right-Sided Midfielder/Fullback"
"16600","Right-Sided Midfielder/Fullback"
"166010","Central Defender"
"166011","Central Defender"
"166013","Central Midfielder"
"166046","Right-Sided Midfielder/Fullback"
"166056","Left-Sided Midfielder/Fullback"
"16616","Central Forward"
"166201","Central Midfielder"
"166201","Central Defender"
"166256","Right-Sided Midfielder/Fullback"
"166297","Central Forward"
"166308","Left-Sided Midfielder/Fullback"
"166311","Right-Sided Attacker"
"166311","Left-Sided Attacker"
"166315","Central Defender"
"166316","Central Defender"
"16634","Right-Sided Midfielder/Fullback"
"16634","Left-Sided Midfielder/Fullback"
"166392","Left-Sided Midfielder/Fullback"
"16642","Left-Sided Midfielder/Fullback"
"166567","Central Midfielder"
"166568","Central Midfielder"
"16658","Left-Sided Attacker"
"16658","Right-Sided Attacker"
"166610","Central Defender"
"166613","Central Forward"
"166613","Left-Sided Attacker"
"16669","Central Defender"
"166745","Central Midfielder"
"166745","Left-Sided Attacker"
"166841","Left-Sided Attacker"
"166939","Right-Sided Midfielder/Fullback"
"167043","Right-Sided Attacker"
"167043","Left-Sided Attacker"
"167043","Right-Sided Midfielder/Fullback"
"167079","Central Midfielder"
"167229","Central Midfielder"
"16736","Central Midfielder"
"16736","Right-Sided Attacker"
"167545","Central Midfielder"
"167684","Central Forward"
"167684","Left-Sided Attacker"
"167717","Central Forward"
"167717","Left-Sided Attacker"
"16772","Left-Sided Attacker"
"16772","Left-Sided Midfielder/Fullback"
"167783","Central Midfielder"
"167783","Left-Sided Attacker"
"16820","Central Forward"
"168491","Left-Sided Attacker"
"168503","Central Midfielder"
"168503","Left-Sided Midfielder/Fullback"
"168503","Right-Sided Midfielder/Fullback"
"168759","Right-Sided Attacker"
"168759","Left-Sided Attacker"
"168759","Left-Sided Midfielder/Fullback"
"16926","Central Midfielder"
"16929","Right-Sided Midfielder/Fullback"
"16929","Central Midfielder"
"169350","Central Midfielder"
"169354","Right-Sided Attacker"
"169354","Central Midfielder"
"169404","Right-Sided Midfielder/Fullback"
"169409","Left-Sided Midfielder/Fullback"
"169409","Left-Sided Attacker"
"16962","Central Midfielder"
"16962","Left-Sided Attacker"
"16962","Right-Sided Attacker"
"16970","Right-Sided Midfielder/Fullback"
"169808","Central Defender"
"169830","Central Defender"
"169830","Right-Sided Midfielder/Fullback"
"169836","Central Midfielder"
"169836","Right-Sided Midfielder/Fullback"
"169853","Central Midfielder"
"169943","Central Midfielder"
"17008","Right-Sided Attacker"
"17008","Left-Sided Attacker"
"170112","Central Midfielder"
"170112","Central Forward"
"17015","Left-Sided Midfielder/Fullback"
"17015","Right-Sided Attacker"
"170224","Left-Sided Midfielder/Fullback"
"17035","Central Midfielder"
"170457","Central Midfielder"
"17051","Central Forward"
"17051","Left-Sided Attacker"
"17051","Right-Sided Attacker"
"17052","Central Midfielder"
"170537","Central Forward"
"17057","Left-Sided Attacker"
"170714","Central Midfielder"
"170714","Left-Sided Attacker"
"170755","Central Midfielder"
"170761","Central Midfielder"
"170872","Central Defender"
"170895","Central Defender"
"170951","Central Defender"
"171054","Central Forward"
"17112","Left-Sided Attacker"
"17112","Right-Sided Attacker"
"17113","Central Forward"
"171256","Central Defender"
"171384","Central Midfielder"
"171399","Left-Sided Attacker"
"171399","Right-Sided Attacker"
"171411","Right-Sided Attacker"
"171411","Central Midfielder"
"171411","Left-Sided Attacker"
"171414","Left-Sided Midfielder/Fullback"
"171415","Central Defender"
"171497","Right-Sided Midfielder/Fullback"
"171497","Left-Sided Attacker"
"171497","Right-Sided Attacker"
"171529","Central Forward"
"171529","Left-Sided Attacker"
"17170","Right-Sided Midfielder/Fullback"
"171773","Central Forward"
"171943","Central Defender"
"172140","Left-Sided Midfielder/Fullback"
"172861","Central Midfielder"
"172861","Left-Sided Midfielder/Fullback"
"172916","Central Forward"
"173017","Central Midfielder"
"173017","Left-Sided Attacker"
"173017","Right-Sided Attacker"
"173077","Right-Sided Midfielder/Fullback"
"173077","Central Midfielder"
"17327","Central Defender"
"173378","Central Forward"
"173378","Left-Sided Attacker"
"17341","Left-Sided Midfielder/Fullback"
"17341","Central Midfielder"
"173547","Central Midfielder"
"17366","Central Midfielder"
"17369","Central Midfielder"
"17369","Right-Sided Midfielder/Fullback"
"17377","Central Defender"
"17377","Left-Sided Midfielder/Fullback"
"17381","Central Defender"
"174255","Right-Sided Midfielder/Fullback"
"174255","Left-Sided Midfielder/Fullback"
"174795","Central Forward"
"174799","Central Midfielder"
"175129","Right-Sided Midfielder/Fullback"
"175299","Central Midfielder"
"175604","Right-Sided Midfielder/Fullback"
"175604","Central Midfielder"
"175962","Central Forward"
"176052","Right-Sided Attacker"
"176052","Central Forward"
"176223","Central Defender"
"176308","Central Midfielder"
"176419","Central Defender"
"176420","Central Defender"
"176436","Left-Sided Attacker"
"176436","Right-Sided Attacker"
"176509","Right-Sided Attacker"
"176509","Left-Sided Attacker"
"176518","Right-Sided Midfielder/Fullback"
"176518","Left-Sided Attacker"
"176518","Left-Sided Midfielder/Fullback"
"176575","Left-Sided Midfielder/Fullback"
"176575","Left-Sided Attacker"
"176608","Central Forward"
"176764","Central Forward"
"176960","Right-Sided Midfielder/Fullback"
"176960","Central Midfielder"
"176960","Left-Sided Attacker"
"176977","Central Defender"
"1772","Central Forward"
"1772","Left-Sided Attacker"
"177285","Central Midfielder"
"177310","Central Defender"
"177310","Right-Sided Midfielder/Fullback"
"177348","Central Forward"
"177370","Right-Sided Attacker"
"177370","Left-Sided Attacker"
"17760","Left-Sided Attacker"
"17760","Central Midfielder"
"177711","Central Midfielder"
"177887","Central Forward"
"178142","Central Forward"
"178253","Central Defender"
"178288","Central Defender"
"17831","Central Midfielder"
"178321","Central Forward"
"17846","Left-Sided Midfielder/Fullback"
"178660","Central Midfielder"
"178786","Central Forward"
"178803","Central Midfielder"
"179139","Right-Sided Midfielder/Fullback"
"179302","Central Defender"
"179306","Central Forward"
"179306","Left-Sided Attacker"
"179306","Right-Sided Attacker"
"17948","Central Midfielder"
"17969","Central Forward"
"179706","Central Midfielder"
"179706","Left-Sided Midfielder/Fullback"
"179836","Central Forward"
"180145","Central Forward"
"180389","Central Forward"
"180624","Right-Sided Midfielder/Fullback"
"180787","Central Forward"
"180799","Left-Sided Midfielder/Fullback"
"180855","Left-Sided Midfielder/Fullback"
"180875","Central Midfielder"
"180886","Central Midfielder"
"180889","Right-Sided Midfielder/Fullback"
"180889","Central Midfielder"
"180910","Central Forward"
"180910","Left-Sided Attacker"
"18093","Left-Sided Attacker"
"18093","Right-Sided Attacker"
"180957","Central Midfielder"
"180957","Central Defender"
"181028","Left-Sided Midfielder/Fullback"
"181032","Central Forward"
"181127","Left-Sided Attacker"
"181127","Central Forward"
"181127","Right-Sided Attacker"
"181383","Right-Sided Midfielder/Fullback"
"181580","Right-Sided Midfielder/Fullback"
"181580","Central Midfielder"
"181596","Central Midfielder"
"181596","Central Defender"
"181674","Central Forward"
"181674","Central Midfielder"
"181674","Left-Sided Attacker"
"181761","Central Defender"
"182067","Central Midfielder"
"182067","Central Forward"
"182090","Central Defender"
"182131","Right-Sided Attacker"
"182131","Left-Sided Attacker"
"182211","Central Forward"
"182231","Central Midfielder"
"182231","Right-Sided Midfielder/Fullback"
"182236","Right-Sided Midfielder/Fullback"
"182298","Central Midfielder"
"182322","Left-Sided Midfielder/Fullback"
"182380","Central Defender"
"182380","Right-Sided Midfielder/Fullback"
"182421","Central Forward"
"182548","Left-Sided Attacker"
"182548","Central Forward"
"182628","Central Forward"
"182637","Central Defender"
"182653","Right-Sided Attacker"
"182653","Left-Sided Attacker"
"182709","Central Forward"
"182722","Right-Sided Midfielder/Fullback"
"18276","Central Defender"
"18276","Right-Sided Midfielder/Fullback"
"182804","Central Defender"
"182805","Central Midfielder"
"182805","Central Defender"
"182807","Central Forward"
"182808","Left-Sided Attacker"
"182808","Central Forward"
"182810","Central Forward"
"182810","Central Midfielder"
"182811","Central Forward"
"182811","Central Midfielder"
"182818","Central Forward"
"182822","Central Midfielder"
"182822","Left-Sided Attacker"
"182823","Central Midfielder"
"182824","Central Midfielder"
"182924","Left-Sided Midfielder/Fullback"
"182924","Left-Sided Attacker"
"182926","Central Midfielder"
"182926","Left-Sided Midfielder/Fullback"
"182932","Central Midfielder"
"182934","Central Defender"
"182964","Central Defender"
"183119","Central Midfielder"
"183163","Central Defender"
"183163","Central Midfielder"
"183186","Central Midfielder"
"183373","Central Defender"
"183373","Central Midfielder"
"183610","Central Midfielder"
"183826","Central Forward"
"183846","Central Midfielder"
"183893","Left-Sided Midfielder/Fullback"
"183893","Central Midfielder"
"183912","Central Midfielder"
"183918","Left-Sided Midfielder/Fullback"
"183953","Central Defender"
"183955","Central Midfielder"
"183998","Central Defender"
"183998","Right-Sided Midfielder/Fullback"
"184026","Right-Sided Midfielder/Fullback"
"184026","Left-Sided Midfielder/Fullback"
"184146","Central Midfielder"
"18430","Central Forward"
"184320","Central Forward"
"184332","Central Forward"
"18455","Central Defender"
"185146","Central Midfielder"
"185150","Central Defender"
"185178","Central Forward"
"185228","Central Midfielder"
"185289","Central Forward"
"185289","Left-Sided Attacker"
"185366","Central Forward"
"185394","Central Forward"
"185394","Right-Sided Attacker"
"185429","Central Defender"
"185497","Central Midfielder"
"185678","Central Forward"
"18572","Central Defender"
"185823","Left-Sided Midfielder/Fullback"
"185912","Left-Sided Midfielder/Fullback"
"185912","Left-Sided Attacker"
"18602","Right-Sided Attacker"
"18602","Central Forward"
"186078","Central Midfielder"
"186259","Left-Sided Midfielder/Fullback"
"186342","Left-Sided Midfielder/Fullback"
"186370","Central Defender"
"186439","Central Defender"
"186548","Central Midfielder"
"186554","Central Forward"
"186581","Left-Sided Midfielder/Fullback"
"186581","Right-Sided Midfielder/Fullback"
"186631","Central Forward"
"186654","Central Midfielder"
"186654","Left-Sided Midfielder/Fullback"
"186657","Left-Sided Midfielder/Fullback"
"186657","Right-Sided Midfielder/Fullback"
"186689","Central Forward"
"186690","Central Midfielder"
"186716","Left-Sided Attacker"
"186716","Right-Sided Attacker"
"186720","Left-Sided Attacker"
"186720","Central Forward"
"186735","Central Forward"
"186778","Central Midfielder"
"186778","Right-Sided Midfielder/Fullback"
"186965","Right-Sided Attacker"
"186965","Central Midfielder"
"186969","Left-Sided Attacker"
"186969","Right-Sided Attacker"
"187071","Right-Sided Midfielder/Fullback"
"187074","Central Forward"
"187074","Central Midfielder"
"187155","Central Midfielder"
"187155","Central Defender"
"187161","Central Midfielder"
"187163","Central Midfielder"
"187187","Central Midfielder"
"187251","Central Defender"
"187290","Left-Sided Midfielder/Fullback"
"187367","Right-Sided Midfielder/Fullback"
"187695","Central Defender"
"187696","Central Forward"
"187696","Left-Sided Attacker"
"187716","Left-Sided Attacker"
"187719","Central Forward"
"187719","Right-Sided Attacker"
"187731","Central Midfielder"
"187731","Central Defender"
"187768","Central Forward"
"18796","Right-Sided Midfielder/Fullback"
"18796","Central Defender"
"18803","Central Forward"
"188053","Central Defender"
"18807","Central Defender"
"188104","Central Defender"
"188105","Central Midfielder"
"188346","Left-Sided Midfielder/Fullback"
"188419","Central Midfielder"
"188434","Central Midfielder"
"18845","Central Defender"
"188623","Central Forward"
"188638","Right-Sided Midfielder/Fullback"
"188638","Right-Sided Attacker"
"188646","Central Midfielder"
"188674","Left-Sided Attacker"
"18875","Central Defender"
"18879","Central Midfielder"
"18879","Left-Sided Attacker"
"18879","Right-Sided Attacker"
"18891","Right-Sided Attacker"
"18891","Left-Sided Attacker"
"188948","Central Midfielder"
"188948","Left-Sided Attacker"
"188948","Right-Sided Attacker"
"189025","Left-Sided Midfielder/Fullback"
"189025","Central Midfielder"
"189026","Central Midfielder"
"189091","Central Forward"
"189102","Central Forward"
"189113","Left-Sided Midfielder/Fullback"
"18936","Left-Sided Midfielder/Fullback"
"189427","Central Forward"
"189486","Central Midfielder"
"189511","Central Midfielder"
